CustomerID,Age,Gender,MaritalStatus,IncomeLevel,TotalSpend,TransactionCount,Books,Clothing,Electronics,Furniture,Groceries,TotalInteractions,UnresolvedInteractions,LastLoginDate,LoginFrequency,ServiceUsage,ChurnStatus
1,62,M,Single,Low,416.5,1,0.0,0.0,416.5,0.0,0.0,1.0,0.0,2023-10-21,34,Mobile App,0
2,65,M,Married,Low,1547.4199999999998,7,0.0,452.33,794.05,101.31,199.73,1.0,0.0,2023-12-05,5,Website,1
3,18,M,Single,Low,1702.98,6,241.06,51.07,0.0,823.27,587.58,1.0,0.0,2023-11-15,3,Website,0
4,21,M,Widowed,Low,917.29,5,0.0,44.22,367.09,382.39,123.59,2.0,1.0,2023-08-25,2,Website,0
5,21,M,Divorced,Medium,2001.49,8,0.0,0.0,683.54,398.89,919.06,0.0,0.0,2023-10-27,41,Website,0
6,57,F,Divorced,Medium,1164.29,5,365.57,448.86,204.16,145.7,0.0,1.0,0.0,2023-09-17,2,Website,0
7,27,F,Married,High,86.73,1,86.73,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-07,32,Mobile App,0
8,37,M,Single,Low,2046.88,7,504.15999999999997,830.1500000000001,161.56,551.01,0.0,2.0,2.0,2023-04-22,17,Online Banking,1
9,39,M,Divorced,High,1317.24,5,0.0,798.17,96.67,0.0,422.4,1.0,0.0,2023-06-27,24,Website,0
10,68,M,Married,High,1397.36,7,0.0,35.29,178.78,700.89,482.4,0.0,0.0,2023-01-13,29,Online Banking,1
11,54,M,Divorced,Medium,1733.83,5,924.46,0.0,0.0,0.0,809.37,2.0,1.0,2023-01-22,30,Online Banking,0
12,41,F,Married,Low,87.1,1,0.0,0.0,87.1,0.0,0.0,2.0,1.0,2023-12-31,43,Website,0
13,24,F,Divorced,Low,392.02,3,164.72,54.17,173.13,0.0,0.0,1.0,0.0,2023-07-05,10,Mobile App,0
14,42,M,Widowed,Medium,2843.59,9,150.22,335.44,0.0,1323.54,1034.3899999999999,2.0,1.0,2023-01-10,26,Online Banking,0
15,42,M,Divorced,Medium,1914.02,8,444.17999999999995,185.6,383.9,425.42,474.92,2.0,2.0,2023-06-15,44,Online Banking,0
16,30,F,Single,Medium,2019.79,9,894.69,470.53,97.06,557.51,0.0,2.0,0.0,2023-03-15,41,Online Banking,1
17,19,M,Married,Low,1625.27,7,431.79,124.02,436.58000000000004,121.62,511.26,2.0,1.0,2023-09-03,8,Online Banking,0
18,56,F,Married,High,951.3800000000001,5,535.95,0.0,0.0,251.32,164.11,1.0,1.0,2023-11-24,37,Website,1
19,57,F,Divorced,High,1017.26,5,0.0,11.82,0.0,985.64,19.8,2.0,2.0,2023-03-08,39,Online Banking,0
20,41,M,Single,Low,2775.85,9,462.1,1299.05,191.96,315.55,507.19,1.0,0.0,2023-08-15,16,Website,0
21,64,M,Divorced,High,913.02,5,315.24,0.0,0.0,0.0,597.78,0.0,0.0,2023-06-16,18,Website,0
22,42,F,Divorced,Low,1582.73,6,402.9,218.65,0.0,497.7,463.48,2.0,0.0,2023-05-06,42,Mobile App,0
23,35,F,Divorced,Low,1490.74,4,871.87,0.0,0.0,0.0,618.87,2.0,1.0,2023-07-07,19,Mobile App,0
24,55,M,Widowed,Medium,1143.22,5,128.8,97.89,0.0,431.03,485.5,1.0,0.0,2023-10-04,12,Mobile App,0
25,43,F,Married,Low,764.77,3,392.9,0.0,0.0,0.0,371.87,1.0,0.0,2023-02-15,27,Mobile App,0
26,31,M,Single,Medium,571.76,3,318.48,207.37,0.0,45.91,0.0,1.0,0.0,2023-09-29,45,Mobile App,1
27,26,M,Widowed,Medium,2210.6,8,288.66,540.89,806.5899999999999,344.59,229.87,1.0,1.0,2023-10-01,22,Mobile App,0
28,27,F,Widowed,High,1702.26,6,329.36,0.0,1033.29,339.61,0.0,2.0,2.0,2023-10-26,42,Online Banking,0
29,38,F,Divorced,Medium,853.0699999999999,3,438.71,414.35999999999996,0.0,0.0,0.0,2.0,1.0,2023-09-02,34,Website,0
30,69,M,Divorced,High,706.66,2,257.88,0.0,448.78,0.0,0.0,2.0,1.0,2023-07-12,38,Website,0
31,34,M,Divorced,Low,1108.56,5,507.83,498.77,0.0,101.96,0.0,2.0,0.0,2023-08-17,23,Online Banking,0
32,69,F,Married,High,1225.52,5,127.97,210.01,315.06,0.0,572.48,0.0,0.0,2023-01-06,48,Mobile App,0
33,23,M,Divorced,High,689.0,2,0.0,356.54,0.0,0.0,332.46,1.0,0.0,2023-05-19,24,Mobile App,1
34,33,M,Widowed,High,1886.4,9,269.06,999.12,264.13,354.09000000000003,0.0,2.0,1.0,2023-04-03,44,Online Banking,0
35,65,M,Married,Low,779.8399999999999,3,471.59,0.0,172.58,135.67,0.0,1.0,1.0,2023-05-23,19,Mobile App,0
36,18,F,Widowed,Low,1321.5500000000002,6,452.54,198.88,224.26999999999998,0.0,445.86,1.0,0.0,2023-02-11,6,Online Banking,0
37,36,F,Married,Medium,3166.88,9,495.59,1536.38,0.0,1039.77,95.14,1.0,0.0,2023-08-28,3,Online Banking,0
38,53,F,Married,Low,874.86,3,431.43,0.0,0.0,0.0,443.43,1.0,0.0,2023-11-27,47,Online Banking,0
39,42,M,Married,Medium,1191.94,5,0.0,0.0,530.33,648.84,12.77,0.0,0.0,2023-01-20,26,Online Banking,0
40,67,F,Widowed,Low,1578.3500000000001,7,0.0,0.0,412.68,421.47,744.2,1.0,0.0,2023-10-14,20,Website,0
41,69,F,Married,High,363.22,2,0.0,33.36,0.0,329.86,0.0,1.0,1.0,2023-07-04,38,Mobile App,1
42,47,M,Widowed,Medium,530.61,3,204.32,0.0,0.0,0.0,326.29,0.0,0.0,2023-07-17,10,Mobile App,0
43,37,M,Single,Low,2213.63,7,396.79,892.7,325.4,0.0,598.74,2.0,1.0,2023-05-25,25,Mobile App,0
